"0"	"Pregnant Eva Amurri Martino Reveals Split From Husband Kyle Martino"	"movies-celebrity"	"Eva Amurri announced she and her husband are "lovingly" parting ways after eight years of marriage."
"1"	"Antonio Brown meeting with NFL next week"	"football_nfl"	"The NFL's Personal Conduct Policy investigation into allegations of sexual assault and rape made against Antonio Brown in a civil lawsuit earlier this year is ready to move on to a meeting with Brown. Josina Anderson of ESPN reported on Thursday that Brown will be meeting with league officials next week. Via a league source, [more]"
"1"	"Should the Chiefs trade for Marcus Mariota?"	"football_nfl"	"Matt Moore is the next man up for the Chiefs. But who will be the next next man up, if Patrick Mahomes will miss significant time? We threw out some options last night. There aren't many, but after sleeping on it and thinking about it and talking about it on PFT Live, one stands out [more]"
"1"	"Report: Timberwolves 'fuming' over NBA's ruling in Karl-Anthony Towns-Joel Embiid fight"	"basketball_nba"	"The Timberwolves reportedly wanted Ben Simmons punished. Their grievances apparently didn't end there."
"1"	"Bill Plaschke: Mike Bohn brings USC integrity, which means he can't hire Urban Meyer"	"football_ncaa"	"LOS ANGELES_You ever heard of Mike Bohn? Me neither, and that's a good thing. The University of Southern California is apparently set on naming Bohn as its new athletic director, the smart hiring of a man who embodies the most important attribute for the new leader of the Trojans family. He's a complete stranger. He never played football at USC. He never coached football at USC. He never ..."
"1"	"Model, 23, Didn't Know She Was Pregnant Until She Gave Birth to a Full-Term Baby in Her Bathroom"	"health-news"	"An Australian model recently had a life-changing surprise when she gave birth to a baby in her bathroom, despite not knowing that she had been carrying her daughter for nine months."
"1"	"Ex-NFL player Winslow Jr takes plea deal before rape retrial"	"football_nfl"	"VISTA, Calif. (AP)   Former NFL player Kellen Winslow Jr. pleaded guilty Monday to raping an unconscious teen in 2003 and to sexual battery involving a 54-year-old hitchhiker in a deal that spared him the possibility of life in prison. Winslow initially hesitated and seemed to agonize over his decision. "I'm sorry. I'm just not thinking very clearly," Winslow told the judge at one point. He asked the judge for more time before he finally entered..."
"1"	"Report: Bucks PG Eric Bledsoe could miss start of regular season"	"basketball_nba"	"The Bucks made a risky decision to lose combo guard Malcolm Brogdon this summer."
"1"	"Patrick Mahomes shouldn't try to rush back"	"football_nfl"	"The league has seen too many young quarterbacks leave early for too many reasons. The Chiefs, and the NFL, need his talent and flair."
"0"	"Ford v Ferrari: the real story"	"autosnews"	"The film about the epic Le Mans rivalry promises to be a must for car fans - and this is the real story behind it"
"1"	"Martin worries about amputation after breaking right leg"	"golf"	"Casey Martin's worst fear was realized earlier this month when he stepped awkwardly off a curb and fractured his right tibia."
"1"	"Latest Australia shark attack sparks tourism concerns"	"travelnews"	"Tourism operators want aerial shark patrols to be introduced in Australia's Whitsunday Islands as they try to stem falling visitor numbers following a spate of attacks along the Great Barrier Reef."
"1"	"Incredible photos show the highest inhabited town on Earth"	"newsworld"	"La Rinconada, Peru, is the highest permanent human settlement in the world. These 18 photos show what life is like there."
"1"	"High school soccer: Chloe DeLyser sets record for most goals scored"	"more_sports"	"Chloe DeLyser, an Ohio State commit, scored her 317th goal Tuesday night, setting a new national record for a high school girls soccer player."
"1"	"Lakers and Nets players lost money on broken agreements in China"	"basketball_nba"	"According to The Athletic's Shams Charania, players on the Brooklyn Nets and Los Angeles Lakers both lost money last week in China."
"1"	"5 NBA stars who could get traded this season (plus one who probably won't)"	"basketball_nba"	"The NBA's title picture can swing on a trade. These are the biggest names that could be on the move."
"1"	"Mark Hurd, Oracle CEO who led 3 tech companies, dies at 62"	"finance-companies"	"Mark Hurd, who was chief executive officer of three major technology companies including Oracle Corp., has died. He was 62."
"1"	"NFL fines Odell Beckham Jr. for ridiculous uniform infraction"	"football_nfl"	"Odell Beckham Jr., no stranger to various NFL-deemed uniform violations, has been hit with yet another over a pants issue two weeks ago in the Cleveland Browns-Seattle Seahawks game."
"1"	"Russia lands forces at former U.S. air base in northern Syria"	"newsworld"	"Russia lands forces at former U.S. air base in northern Syria"
"1"	"How a Minnesota Suburb Became the Halloween Capital of the World"	"newsgoodnews"	"It all started on November 1, 1919, when the residents of Anoka, Minnesota, woke up to an epic prank."
"0"	"Ford v Ferrari: the forgotten car at the heart of the Le Mans '66 clash"	"autosenthusiasts"	"The Ferrari-beater you've probably never heard of"
"0"	"Joshua Jackson and Jodie Turner-Smith spark marriage speculation"	"tv-celebrity"	"Joshua Jackson and Jodie Turner Smith may be secretly married."
"1"	"Funny celeb pics for October 2019"	"humor"	"Helen Mirren does ride share differently and more pics that will make you LOL."
"1"	"Big 12 fines K-State, TCU, reprimands Kansas over Week 9 field-storming incidents"	"football_ncaa"	"All three scored huge upset wins this past weekend."
"1"	"George Conway and Trump Jr. trade personal insults during impeachment hearing"	"newspolitics"	"Conservative commentator George Conway and Donald Trump Jr. squared off via Twitter during Marie Yovanovitch's public impeachment hearing Friday."
"1"	"Rachael Ray finally opens restaurant with no physical location"	"foodnews"	"Rachael Ray is the anomaly among TV celebrity chefs in that she's never opened a restaurant. Fans have asked for it, but Ray says it's just never been in the cards. Starting today, though, you can eat food designed by Rachael Ray… just not in an actual restaurant."
"0"	"Did Trump just commit witness tampering? I asked 7 legal experts."	"newspolitics"	"Probably not, but here's why it likely doesn't matter anyway."
"1"	"Charles Barkley: 'At this point, Kawhi's a better player than LeBron'"	"basketball_nba"	"TNT Analyst Charles Barkley said Kawhi Leonard is a better player than LeBron James."
"1"	"Why has Michael Bennett's playing time dropped so much since he joined the Patriots?"	"football_nfl"	"A change in scheme hasn't benefited the 33-year-old defensive lineman, who could see himself cut or traded."
"1"	"Best Places to Retire If You Can't Save Up $1,000,000"	"finance-retirement"	"If you can't retire with $1 million, you can still live well."
"0"	"Taylor Swift Rep Hits Back at Big Machine, Claims She's Actually Owed $7.9 Million in Unpaid Royalties"	"musicnews"	"Taylor Swift's team responds to Big Machine's denial."
"0"	"Oregon may face ICE push-back on new limits for courthouse arrests"	"newsus"	"Under a new rule enacted Thursday by Oregon Supreme Court Chief Justice Martha Walters, agents with U.S. Immigration and Customs Enforcement are forbidden from arresting immigrants inside or near the state's courthouses unless the agents first receive warrants from a judge."
"0"	"Why did Santa Clarita shooting happen? Detectives search for motive"	"newsus"	"Investigators are still trying to determine why a 16-year-old Saugus High School student allegedly opened fire in a campus quad Thursday, killing two classmates and injuring three others before turning the weapon on himself."
"0"	"Report: Myles Garrett facing lengthy suspension, could be five games"	"football_nfl"	"Myles Garrett was guilty of one of the most aggressive and dangerous acts we have ever seen on a football field during Monday night's game between the Pittsburgh Steelers and Cleveland Browns."
"1"	"American Airlines cabin crew fear return of Boeing 737 Max"	"travelnews"	"Lori Bassani, who leads the Association of Professional Flight Attendants, wrote to Boeing CEO Dennis Muilenburg about the ongoing 737 Max crisis."
"0"	"DHS Sued for Answers About Its Use of DNA Testing at the Border"	"newsus"	""DHS has deployed this privacy-invasive technology without explaining how accurate the testing is, whether families can challenge the results, or how the program may be expanded in the future," said EFF Staff Attorney Saira Hussain."
"1"	"The biggest games in the month of November that will decide the College Football Playoff"	"football_ncaa"	"The month of November will decided which teams will be in College Football Playoff contention. A look at the biggest games in a jam-packed schedule."
"0"	"'Born into hockey': Meet Emilie Castonguay, NHL's rare female agent who has top draft prospect as client"	"icehockey_nhl"	"Emilie Castonguay, who played youth hockey on boys teams, is making a name for herself in agent business. She has the likely top pick in 2020 draft."
"1"	"Standout performers from Friday night's college football action"	"football_ncaa"	"The first game of the evening pitted Marshall against Florida Atlantic and provided three of the young players we're featuring in our weekly standout list."
"0"	"'Charlie's Angels' stars: Where are they now?"	"movies-gallery"	"We're checking up on former Charlie's Angels actresses to find out what they're up to today."
"1"	"66 Cool Tech Gifts Anyone Would Be Thrilled to Receive"	"shop-holidays"	"Let's face it: everyone wants the newest, coolest tech gadget on the market, and we don't blame 'em."
"1"	"Every MLB team's most pressing free-agent need this offseason"	"baseball_mlb"	"Now that the World Series has wrapped, teams can look ahead to this offseason   and start preparing for next season."
"0"	"Sterling K. Brown Emotionally Recalls Seeing His Dad for the Last Time Before His Death"	"tv-celebrity"	"Sterling K. Brown Recalls Last Moment He Saw His Dad Alive"
"1"	"Heisman Trophy Race 2019: Ohio State's Trio of Fields, Young & Dobbins Could Make History"	"football_ncaa"	"Ohio State could have three players finish in the top 10 in this year's Heisman Trophy voting. The post Heisman Trophy Race 2019: Ohio State's Trio of Fields, Young & Dobbins Could Make History appeared first on Stadium."
"1"	"The Legend of Joe Burrow began at Auburn at about 5:30 p.m. on Sept. 15, 2018"	"football_ncaa"	"LSU QB Joe Burrow was just a normal guy until he threw a 71-yard touchdown in the 4th quarter to WR Derrick Dillon at Auburn to spark a 22-21 win"
"0"	"Debunking the week's tabloid stories: Nov. 15, 2019"	"celebrity"	"A round-up of the week's tabloid stories that totally missed the mark."
"1"	"Jussie Smollett fails to persuade judge to drop Chicago lawsuit seeking $130,000 fine"	"tv-celebrity"	"Jussie Smollett failed to persuade a federal judge to dismiss a civil suit by city seeking $130,000 for wasting police time."
"0"	"I Overate at Dinner Until I Started Doing This 1 Simple Thing on Sundays (It Takes 10 Minutes!)"	"nutrition"	"Another reason Sunday is the best day to meal prep."
"0"	"Federal Prosecutors Probe Giuliani's Links to Ukrainian Energy Projects"	"newspolitics"	"Federal prosecutors in New York are investigating whether Rudy Giuliani stood to personally profit from a Ukrainian natural-gas business pushed by two associates who also aided his efforts there to launch investigations that could benefit President Trump, people familiar with the matter said."
"1"	"U.S. Troops Will Die If They Remain in Syria, Bashar Al-Assad Warns"	"newsworld"	"President Donald Trump has said a force of Americans will remain in the east of the country to guard the oil fields there."
"1"	"Hawks' Young with filthy move on Rubio"	"basketball_nba"	"In a matchup between two exciting young teams, Trae Young pretty much told Ricky Rubio who was boss."
"1"	"Prince William and Kate Middleton arrive in Pakistan for royal tour"	"lifestyleroyals"	"She and Prince William just touched down at Nur Khan Airbase."
"0"	"I'm A Queer Woman Dating A Trans Man   & No One Knows"	"voices"	"I'm a queer woman partnered with a transgender man, but everyone assumes we're a heterosexual couple. On the surface, we're the quintessential Brooklyn duo: We have tasteful tattoos and piercings, we shop at food co-ops, we attend spin class together, and we're creative yet gainfully employed. But while this relationship afforded me the privilege of banal nonconformity, I lost a piece of myself when I got together with my once-gym buddy, James...."
"1"	"Football Four: As Ohio State rolls and Oklahoma falls, Alabama and LSU ready for showdown"	"football_ncaa"	"As Ohio State rolls and Oklahoma falls, the SEC dreams of getting two teams into College Football Playoff. Out West, Oregon and Utah climb back in."
"1"	"How the Rams' blockbuster trade for Jalen Ramsey signals a new NFL"	"football_nfl"	"Peter King lays out how the Jalen Ramsey blockbuster trade has changed the landscape of the NFL and how teams view fixing roster holes."
"1"	"L.A.'s $1 billion trophy tower halted as China pulls back"	"markets"	"It's meant to be one of the crown jewels of downtown Los Angeles' urban renaissance but now it's in limbo -- plagued by lawsuits from subcontractors, and victim of an ongoing trade dispute between China and the U.S. and a Beijing crackdown on credit and capital flight."
"0"	"Dow tops 28,000 for first time, capping 4-week win streak"	"markets"	"The Dow Jones Industrial Average ended at another record high Friday after White House economic adviser Larry Kudlow said China and the U.S. were getting close to reaching a trade deal."
"1"	"Why the Patriots made a very un-Patriots trade for Mohamed Sanu"	"football_nfl"	"The Patriots haven't traded a second-round pick for an age 30 player since ... Corey Dillon."
"0"	"Dozens of Colorado sheriffs say they won't enforce red flag gun law"	"newsus"	"Several sheriffs in the state of Colorado are digging in their heels against a gun law that will go into effect January 1, allowing for the temporary confiscation of firearms if a gun owner shows dangerous or threatening behavior. 60 Minutes reports on red flag laws being adopted across the country, Sunday"
"1"	"USC roars to a 35-31 comeback win over Colorado"	"football_ncaa"	"BOULDER, Colo. (AP) Kedon Slovis threw a 37-yard touchdown pass to Michael Pittman Jr. with 2:15 left and Southern California escaped Folsom Field with a 35-31 win Friday night over the hard-luck Colorado Buffaloes, who nearly pulled off their first ever victory over the Trojans."
"1"	"Bengals suspend Cordy Glenn for one game"	"football_nfl"	"Three days ago, Bengals tackle Cordy Glenn was cleared to return to practice. Today, he won't be practicing. The Bengals have announced that Glenn has been suspended one game. He won't play on Sunday against the Jaguars. Here's the full text of the press release: "The Bengals today suspended OT Cordy Glenn for one game [more]""
"1"	"Police identify "fan" who punched Myles Garrett"	"football_nfl"	"Myles Garrett is tied for the league lead with nine sacks, but a "fan" turned the tables on him Wednesday. The Browns defensive end tweeted about the incident after contacting police. While Garrett was driving through downtown Cleveland on Wednesday afternoon, he said a man recognized him and got out of his car in traffic [more]"
"1"	"25 Early TV Appearances By A-List Movie Stars"	"tv-gallery"	"Icons and Oscar winners who got their start on television"
"0"	"Oilers in awe of McDavid's gigantic night: He's 'just unstoppable'"	"icehockey_nhl"	"Edmonton Oilers captain Connor McDavid lit up the hockey world on Thursday night with a remarkable six-point performance versus the Colorado Avalanche, and his teammates were blown away."
"1"	"Joel Embiid, Karl-Anthony Towns likely facing multi-game bans for roles in brawl"	"basketball_nba"	"Both teams don't play again until Saturday, so the league will have plenty of time to assess whether any players left the bench area, which could lead to additional suspensions."
"0"	"PHT Morning Skate: Makar's incredible rookie season; Load management in NHL"	"icehockey_nhl"	"Friday's collection of links."
"1"	"Celebrity kids then and now: See how they've grown"	"entertainment-celebrity"	"See what the children of Bobby Cannavale, Ray Liotta, Jude Law, Jamie Foxx, Sylvester Stallone, James Gandolfini and more stars look like now."
"0"	"Mini Mister Rogers! Hospital Dresses Up Newborn Babies as Beloved TV Icon for World Kindness Day"	"lifestylebuzz"	"Mister Rogers Babies: Hospital Dresses Up Newborns as TV Icon"
"1"	"We all 'can get it wrong': Mike Pompeo suggests William Taylor misunderstood Ukraine controversy"	"newspolitics"	"Secretary of State Mike Pompeo cast doubt on the testimony of the top U.S. diplomat in Ukraine by suggesting that the envoy might have misread the diplomatic dialogues that sparked an impeachment inquiry."
"1"	"Will Freddie Kitchens be one and done in Cleveland?"	"football_nfl"	"Eight games in, and the Freddie Kitchens experiment is not going well in Cleveland. Indeed, it was and is an experiment. A calculated risk. A measured, weighted decision to elevate an interim offensive coordinator who had no grooming for a head-coaching job   and whose lack of grooming continues to reveal itself. The Browns, after [more]"
"0"	"Queen Elizabeth Just Rode Horseback at Age 93"	"lifestyleroyals"	"The British monarch isn't letting a small thing like age keep her from living her life."
"0"	"Celebrity beach cruising for 2019"	"celebrity"	"See all the stars who hit the beach this year!"
"1"	"49ers' Nick Bosa on track to be NFL's best Defensive Rookie of the Year of all time"	"football_nfl"	"The San Francisco defensive end is producing like few have in the league's 100-year history."
"1"	"Jets waive Luke Falk"	"football_nfl"	"It's not often that a player goes from starting quarterback directly to the waiver wire, but that's exactly what happened to Jets quarterback Luke Falk this week. Falk, who started the last two games for the Jets, was placed on waivers today. With Sam Darnold now healthy enough to start for the Jets on Sunday, [more]"
"1"	"This fast food chain has the best fries, according to customers"	"restaurantsandnews"	"We asked our readers who has the best fries in all of fast food, and Five Guys' fries snatched the potato cake right from McDonald's greasy grasp."
"1"	"Week in celebrity photos for Oct. 21-25, 2019"	"entertainment-celebrity"	"Week in celebrity photos for Oct. 21-25, 2019"
"0"	"How much turkey do you need to buy per person?"	"tipsandtricks"	"When hosting Thanksgiving dinner, there are a lot of questions regarding the menu that may come up."
"1"	"College football Week 10 primer: Heisman Watch, upset picks, predictions and more"	"football_ncaa"	"Sporting News sizes up Week 10. Can Trevor Lawrence make a late run at the Heisman Trophy?"
"1"	"Potential Florida State football coaching targets"	"football_ncaa"	"Luis Torres of the Orlando Sentinel looks at potential Florida State football coaches following the firing of Willie Taggart"
"1"	"Debunking the week's tabloid stories: Oct. 25, 2019"	"celebrity"	"A round-up of the week's tabloid stories that totally missed the mark."
"1"	"Five games in Week 9 that will impact the College Football Playoff race"	"football_ncaa"	"Week 9 has several intriguing games that will impact the College Football Playoff, led by LSU-Auburn, Ohio State-Wisconsin and Notre Dame-Michigan."
"1"	"Cows swept away by Hurricane Dorian found alive   but how?"	"lifestylebuzz"	"A trio of wild cows believed to have been swept away by the storm surge from Hurricane Dorian have been found on a nearby island in North Carolina"
"1"	"Britney Spears' Abs Are on Full Display In Her Newest Workout Video"	"fitness"	"Another week, another Britney Spears workout video   and this time the pop star is combining two of her favorite routines."
"0"	"Wilson deletes tweet of him standing over concussed Smith-Schuster"	"football_nfl"	"The fallout from one of the most bitter games in NFL history rages on."
"1"	"Here's What Bill Belichick Told Patriots' Defense In Sideline Huddles Vs. Jets"	"football_nfl"	"Multiple times during the New England Patriots' - demolition of the New York Jets ESPN cameras showed an animated Bill Belichick gathering his defense on the sideline for in-game coaching"
"1"	"Redskins QB Dwayne Haskins 'excited to put first start on film'"	"football_nfl"	"The rookie has completed 54.5% of his passes for 140 yards with four interceptions and no touchdowns in two appearances."
"0"	"Hockey legend Bobby Orr calls firing of analyst Don Cherry disgraceful"	"icehockey_nhl"	"Bobby Orr says of friend and former coach Don Cherry: "He's not a bigot and he's not a racist. This guy is the most generous caring guy that I know.""
"1"	"What does Michael Jordan think about load management? 'You're paid to play 82 games'"	"basketball_nba"	"The older generations are always telling young'uns they have it easy."
"1"	"Report: NCAA declares potential No. 1 overall pick Wiseman ineligible in shock ruling"	"basketball_ncaa"	"James Wiseman is 7-1 behemoth and a definite lottery pick in the 2020 NBA Draft."
"1"	"Off to the World Series, these Nationals have proved everyone wrong"	"baseball_mlb"	"This unexpected joyride of a season could hold more promise yet."
"1"	"Lonzo Ball says Pelicans have to 'hold the fort down' until Zion Williamson returns"	"basketball_nba"	"Lonzo Ball is confident that the New Orleans Pelicans have the talent to win games without their leading scorer Zion Williamson."
"1"	"Cranes remove bus partially swallowed by Pittsburgh sinkhole"	"newsus"	"A bus that was partially swallowed when a sinkhole opened during morning rush hour in downtown Pittsburgh has been removed from the hole. Authorities said earlier Monday that two cranes arrived to remove the city bus."
"1"	"Ex-Browns receiver Antonio Callaway gets 10-game drug ban"	"football_nfl"	"Former Browns wide receiver Antonio Callaway has been suspended 10 games by the NFL for another violation of the league's substance-abuse policy. League spokesman Brian McCarthy said Friday that Callaway will begin serving the suspension immediately. The 22-year-old player was suspended four games earlier this season for a drug violation."
"1"	"Warriors were bad before Stephen Curry's injury. Now the nightmare begins"	"basketball_nba"	"We learned all about haunted houses when we were kids, shrinking in terror at the movie theater as the ghosts of prior inhabitants tormented the folks just moving in."
"1"	"LSU's Mighty Joe Brady is making Mickey Mouse money in the college football world"	"football_ncaa"	"LSU pass game coordinator Joe Brady is the hottest assistant in the nation because LSU's pass offense is the hottest in the country. Can LSU keep him?"
"0"	"9 renovation tips to boost resale value"	"finance-real-estate"	"Making the right renovation decisions can help you sell your house quicker, and for more money."
"0"	"Former North Carolina State, NBA player Anthony Grundy dies in stabbing, police say"	"more_sports"	"Anthony Grundy starred at North Carolina State before playing professionally. He was killed in a stabbing Thursday in Louisville."
"0"	"The 2019 NFL Season"	"football_nfl"	"The 2019 NFL Season"
"1"	"The 35 Best (and Most Hilarious) Halloween Costumes Ever Worn by Celebrities"	"celebrity"	"In case you need some inspiration."
"0"	"LSU's Mighty Joe Brady is making Mickey Mouse money in the college football world"	"football_ncaa"	"LSU pass game coordinator Joe Brady is the hottest assistant in the nation because LSU's pass offense is the hottest in the country. Can LSU keep him?"
"1"	"3 Indiana judges suspended after a night of drinking turned into a White Castle brawl"	"newsus"	"Hours before they were to attend an educational conference in Indianapolis, three judges went out drinking for a few hours and decided to walk to a strip joint."
"1"	"An Awkward Moment As Meghan Markle Met A Curtsy Attempt With An American Greeting"	"lifestylevideo"	"Customs vary by country and a hug was lost in translation when Meghan Markle took the stage. Buzz60's Keri Lumm reports."
"1"	"Russian woman convicted by U.S. of being agent returns home"	"newsworld"	"Russian woman convicted by U.S. of being agent returns home"
"1"	"Michigan's Jim Harbaugh questions 'interesting' officiating calls in loss to Penn State"	"football_nfl"	"Michigan coach Jim Harbaugh questioned some calls that went against the Wolverines in a 28-21 loss at No. 7 Penn State."
"1"	"Astros fire assistant GM for 'inappropriate comments'"	"newsus"	"The Astros fired assistant general manager Brandon Taubman on Thursday afternoon."
"1"	"The Last Truly Wild Horses Are Alive and Well in Chernobyl"	"lifestylebuzz"	"Motion-sensor cameras have captured the species' comeback."
"0"	"How Google Interferes With Its Search Algorithms and Changes Your Results"	"finance-companies"	"Pressed by businesses, interest groups and governments, the internet giant uses blacklists, algorithm tweaks and an army of contractors to shape what you see."
"0"	"Treasury yields tick higher amid uncertainty over US-China trade deal"	"markets"	"U.S. government debt prices were lower Friday morning, as traders monitored U.S.-China trade developments."
"1"	"Rare deer spotted in Montana"	"animals"	"A Lakeside resident spotted a piebald deer, which represent less than 1% of the deer population."
"1"	"There's a place in the US where its been over 80 degrees since March"	"weathertopstories"	"The Weather Service reports the last time the daily high was below 80 degrees was on March 27 when the high only reached 78 degrees -- which, let's be honest, is still pretty warm."
"1"	"Subtle Signs You May Have Clogged Arteries"	"medical"	"These surprising clues can point to clogged arteries and underlying heart disease."
"1"	"50 Foods You Should Never Eat, According to Health Experts"	"nutrition"	"This is so depressing."
"1"	"Ben Simmons injury update: 76ers PG to undergo shoulder exam, report says"	"basketball_nba"	"Philadelphia's point guard exited the team's game in Utah."
"1"	"Kevin Durant: Draymond Green Fight Played Role in Decision to Leave Golden State"	"basketball_nba"	"Kevin Durant and Draymond Green's public argument near the beginning of last season appeared, from the outside, to cause a bit of a rift in the team."
"1"	"Next week's Arctic blast will be so cold, forecasters expect it to break 170 records across US"	"weathertopstories"	"Get ready for a taste of January. The incoming Arctic blast will bring cold temperatures to the Midwest, Plains, East Coast and Deep South."
"0"	"Brady on Kaepernick workout: 'Pretty cool that he's getting that opportunity'"	"football_nfl"	"Whether this opportunity is something that translates to a real chance for Kaepernick to play in the NFL again remains to be seen."
"1"	"Bob Kingsley, Country Radio Legend, Dead at 80"	"musicnews"	"Country radio legend Bob Kingley, the longtime host of the nationally syndicated program Bob Kingsley's Country Top 40, died early Thursday in Weatherford, Texas, following a lengthy battle with bladder cancer. He was 80 years old. A member of the Country Radio Broadcasters Hall of Fame, inducted in 1998, he later became only the format's fifth representative in the National Radio Hall of Fame in 2016. Kingsley was 18 and serving in the Air..."
"0"	"'Our entire community is changed forever': CA shooting victims face a new reality"	"newsus"	"Students at Saugus High School in Santa Clarita, California, say they're facing a new reality after a fellow student shot five classmates and them himself Thursday."
"1"	"Reports: Josh Gordon expected to be waived off IR when healthy"	"football_nfl"	"The Patriots placed Josh Gordon on injured reserve Wednesday, a day after acquiring receiver Mohamed Sanu from the Falcons. It might not signal the end of Gordon's season, though. Gordon's knee injury is considered "minor," according to multiple reports, and he expects to be cleared soon. The receiver recently went 22 mph on a treadmill [more]"
"0"	"Opinion: NFL had no choice but to send a clear message with Garrett punishment"	"football_nfl"	"The NFL decision to suspend Myles Garrett for the rest of the Cleveland Browns season was not surprise and sent a clear message from the NFL."
"1"	"Five Candidates to Replace Willie Taggart at Florida State"	"football_ncaa"	"Florida State announced they fired Willie Taggart on Sunday, which means the Seminoles will need a new head football coach."
"1"	"Opinion: Panthers star Christian McCaffrey faces huge test as 49ers' 'Steel Curtain' looms"	"football_nfl"	"Christian McCaffrey is the engine who drives Panthers' offense. But going up against San Francisco 49ers defense will be greatest test of his career."
"1"	"Order! Order! Britain's speaker quits Brexit hotseat"	"newsworld"	"John Bercow stepped down on Thursday after 10 years as speaker of Britain's House of Commons -- a role that rocketed him into the heart of the Brexit battle, and won him European fans."
"1"	"AP Top 25: Navy gives AAC 4 teams, 3rd-most by conference"	"football_ncaa"	"Navy moved into The Associated Press college football poll at No. 25, giving the American Athletic Conference four ranked teams, more than all but the Big Ten and the Southeastern Conference. With nine ranked teams off this weekend, including four of the top five, there was little movement throughout the AP Top 25 presented by Regions Bank. LSU is No. 1 for a second consecutive week and Alabama is No. 2. The Tigers and Crimson Tide on Saturday..."
"1"	"Patriots reportedly trying to acquire a star wide receiver"	"football_nfl"	"The Patriots reportedly would prefer a receiver who could "instantly command a defense's respect, alleviate Edelman's burden and help Brady.""
